Time,sGPU_0_Memory_Usage(MB),sGPU_1_Memory_Usage(MB),sGPU_2_Memory_Usage(MB),sGPU_3_Memory_Usage(MB),sGPU_4_Memory_Usage(MB),sGPU_5_Memory_Usage(MB),sGPU_6_Memory_Usage(MB)
14.79,435.68,471.64,300.37,458.07,446.96,452.43,449.56
14.89,409.14,435.25,311.12,493.73,403.60,429.63,457.10
15.52,410.19,461.51,273.65,510.57,442.15,425.20,439.78
15.71,374.69,440.72,300.43,507.86,463.62,403.28,406.20
15.81,419.76,429.64,321.42,490.95,405.08,434.79,393.22
15.91,362.27,446.40,325.89,492.66,460.45,443.65,370.16
16.01,369.35,442.84,294.65,512.78,448.97,368.05,390.64
16.11,380.87,461.59,338.29,536.16,437.58,387.96,404.26
16.44,374.84,460.97,316.36,524.73,499.30,383.71,373.04
17.12,382.30,427.52,366.45,527.72,446.78,365.08,364.59
20.50,439.31,528.44,400.91,490.04,359.04,333.93,403.86
20.64,431.84,538.71,387.92,478.93,334.85,334.03,408.11
20.74,399.82,575.22,376.52,484.08,367.14,353.66,408.92
20.84,427.72,554.61,320.28,482.70,349.48,325.97,436.22
20.94,447.00,527.19,379.80,474.08,371.91,349.97,453.77
21.04,444.11,547.19,368.88,458.76,366.02,350.88,451.52
21.14,471.91,566.50,352.09,441.54,390.07,370.25,433.09
21.24,455.11,555.59,324.16,469.34,343.78,364.63,431.11
21.34,463.40,550.98,339.16,444.83,354.53,381.45,415.76
21.44,447.43,542.12,365.38,450.88,356.01,371.73,393.41
21.54,452.16,571.47,384.66,431.62,329.47,337.60,459.74
21.64,448.59,575.67,351.35,472.93,335.99,361.57,419.18
21.74,467.14,545.10,345.13,439.95,370.82,398.18,426.34
21.84,433.13,546.28,288.91,451.47,331.28,395.79,438.31
21.94,477.49,500.13,283.44,440.48,355.34,384.29,437.67
22.83,434.26,502.82,273.97,433.67,388.12,355.72,447.60
23.12,436.60,475.11,293.43,465.77,355.43,416.11,464.87
23.24,430.41,531.63,263.35,446.04,375.34,424.64,477.38
23.34,455.05,472.65,307.21,438.38,370.38,436.61,436.96
23.44,452.96,481.69,277.29,446.32,393.41,463.17,426.03
23.54,456.05,500.52,286.49,452.68,415.99,446.70,428.71
23.64,471.65,495.72,287.68,474.32,429.27,416.00,507.02
23.74,440.41,469.78,288.05,480.40,469.35,421.23,462.98
23.84,445.19,446.81,301.52,503.47,394.65,406.83,446.27
23.94,441.72,507.88,300.15,473.88,376.07,433.93,454.61
24.19,438.68,452.80,312.67,462.03,401.68,424.88,468.58
26.83,371.41,471.77,312.36,540.15,421.56,396.19,385.10
28.73,352.94,500.68,369.31,530.64,371.26,329.72,358.15
28.90,381.44,500.78,392.39,550.95,385.55,344.73,374.90
29.36,350.14,493.12,374.26,541.59,392.39,288.16,372.29
29.79,428.09,529.99,411.57,499.49,400.67,345.50,372.59
29.94,428.98,554.01,406.40,478.46,378.14,357.71,361.79
30.04,445.24,551.69,394.04,509.67,365.89,314.52,387.13
30.14,440.76,519.99,376.90,505.06,356.90,334.55,393.11
30.24,393.08,516.47,384.79,522.01,363.50,334.26,398.51
30.34,413.03,526.06,348.12,470.22,375.84,332.72,395.83
30.44,445.70,570.69,401.23,463.78,360.24,333.92,407.82
30.54,399.88,516.52,355.25,495.45,365.07,330.02,455.34
30.64,423.91,573.94,407.11,480.33,380.09,332.08,401.52
30.74,383.30,518.56,386.43,528.11,351.79,381.52,414.84
30.84,428.15,501.64,379.55,488.13,374.15,337.95,443.00
30.95,430.55,512.00,386.24,494.04,357.74,362.69,423.12
32.25,400.06,544.82,334.46,456.88,340.29,381.87,481.36
32.38,446.70,559.03,300.76,458.77,377.43,356.89,484.54
32.48,460.86,534.63,316.60,460.02,383.76,423.35,452.09
32.58,449.96,535.54,321.66,444.72,376.38,360.21,484.83
